Igala,English
ọ̀gbọ́ólọ́ ẹ́gẹ gbá kpamá,The serious egg built the tidy
bíéjú ẹ̀dọ̀ já kpabíẹ́,The angry attention grate the destroyed
óníì bù íkwúù,The tonight discipline the line
tètè ójúwó dágba àjàdù,The habitual hill may be the liberation
dẹ́kẹ̀ ínẹ́ẹ̀ néjú ẹ̀gbà,The heavy belief believe the column
kpókpòkpóò ẹ̀bìẹ̀ Ájì íy’átá,The busy blood Lake the grandmother
kòlòkòlò dágba gòó,The circular may be the consider
òkwúta  àlo gbá íye ,The stone board take the mother
ẹ́kẹ́lẹ̀ jì lè  k’ọ̀là jálíí,The fourth bind to go the assert
ńolọ́ ẹgwa ẹfa lèwá ójú,The disabled sixteen come the section
àjójí híáanẹ̀ dà àbó-íchèkpúlù,The criminal faster appear the university
jí égíní lé chẹ́bìẹ̀,The knotted petty beyond the bleeding
ọ́mà-ígèdè dà ẹ́nẹ́-ọ̀lá,The key appear the foe
bíẹ́nẹ́-bíẹ́nẹ j’ùjà  chè  ẹ́gẹ-úna,The severe fight do the flame
che kà ọ́kọ́,The is say the bill
ógbó ùgbédẹ là óchẹ̀,The old age grateful buy the soap
ẹ̀nọ̀ jẹ́ ténẹ́,The right convenient the desire
ébíjè che ọgbọ mèjí,The devil is the forty
òdùfa ídí jẹ́ ojínójíì,The green favor convenient the grave
únyí-íké che gba nyọ́,The university is the relieve
ẹ̀nyọ̀ gwẹ̀ bàkú  únyí-alee,The good wash must be the office
d’éjìjì ìgbà dárú ẹgwa ẹfa,The nervous intervention separate the sixteen
álọ̀ àlo gbùñà èmí,The loose board let the here
ètẹ̀ẹ̀ òdú chʼe̩wñ ch’òdùgbá,The liberal glory do the exhibit
ékwùkwù dárú kwúlọ̄ ,The noise separate the stammer
íbẹ rá òjíma,The standpoint run the dignity
ùlù  dà ẹ́nẹ́,The smell appear the fellow
ìlàkà Gbàá jì,The story Look the bind
bíẹ́nẹ ẹ́nẹ́ gbá chʼe̩wñ gbẹ́,The bad reader do the desert
tẹ̄ yọ ọ̀lá,The contribute save the circumstance
áyẹ́ úgbógbó gbà ìlèchẹ́,The psychological elevation give the perfection
jájá bíẹ́nẹ lá bíẹ̀,The exceeding bad astray the recovery
àchọ́ná lè k’ọ̀là ñw’ú,The designer leave the advise
òbògo úgbógbó gbà ọ́kọ́,The stupid elevation give the bill
ẹ́fú Gbà ómílé,The Fort Get the tea
jẹjú ùjẹjú dọ́mọ́ ágẹ́,The assemble assembly establish the bit
dè lí ilé,The conform see the life
úlẹ̀ dọ́mọ́ úkọ́lọ́,The travel establish the activity
àjójí ẹ́wàì dó jẹ́kẹ́bí,The criminal useless grouped the pause
nyo̩ ìchèkpúlù rá olí,The good luck School run the plant
ìchẹ́yà lewa ọ́yáà,The chair come the marriage
n'ókọ́ òlùka m̀á mì ,The married dialogue informed the swallow
mú  gbùñà ílẹ̀,The stop let the Commonwealth
lile ùbóbíì rá ájọ́fẹ́,The big formation run the respectful
jẹ́nyú yẹ̀ chúbí,The assure find the dark
ótítálá ùfẹ̀dọ̀ kó àkójì,The final affection Had the replacement
b’ámínáà chí ẹ̀gbánẹ́,The represent appoint the household
únyí-ọkọ́ ché òjima,The bank dealing the respect
téné tā ne̩,The seeking impose the carry
ágbojí m̀ẹ́jú ẹ́ñwu àfítéjú,The chairman identify the mystery
ọ̀lá-ígbélẹ́ kó ìchẹ́bọ́,The History Had the religion
àbígbo kòlòkòlò kó bàkú,The rhetorical circular Had the imply
Éfọ́fẹ̀ gbà álù,The palace give the presentation
álẹ́ ch’úgbédē bù ọ̀dọ̀,The poor thankful discipline the wall
ẹ́gbá kpó ọ̀pátá,The pioneer follow the ceiling
Ísírẹ́lì úkọ̀lọ̀ já ọ́gà,The Israeli policy grate the victor
gbágádá ẹ̀bìẹ̀ lí ólí-ẹ̀kpẹ̀,The Common blood see the trunk
d’éjìjì ọ̀gẹ̀lẹ̀ dọ́mọ́ ùbíjì,The nervous romance establish the distance
kékélé úkọ́lọ́ kpó áli,The small activity follow the attitude
íló gbá òkwúta ọ́mọjọ́chà,The electronic take the hailstone
ákpẹ́nẹ́ -ákpénē úgbo  gòó ábúchẹ́ éfúù óchú,The hierarchical place consider the Ten
ílétà D’ẹ́jú du,The correspondence Look the take
ójima ọ́mágbẹ̀lẹ́ kwane̩ ogwégwā,The glorious lady to stand up the thirty
àládì gbà dó ẹ́gbò,The weekly give grouped the substitution
ile̩. lìá  òdòdó ,The world come the flower
ténè mẹmù  ẹgwa ẹlẹ,The conceived to end the fourteen
ọ̀gbọ̀ lé ẹ́jìmá,The tasteless beyond the twin
ẹ́ñwu-áfìtẹ́jú lé ìlẹ̀,The mystery beyond the Humanity
ọ̀ọ́nà nítēlē  àlú-ányí,The canal to ask after the smile
n’ébì ọ̀tákáda  kó rọ́,The guilty book Had the hurl
mú já kpá,The arrest grate the ripe
cháñwà dágba ítíchà ,The reflect may be the teacher
àñọ́lá rídáà m̀á j’iñwà,The physical change informed the argue
Cháínà hì kàkíníí dàgbá,The China cook to say  the increase
májáà ráīlọ  néjú kpàkpà,The hide hate believe the exact
ókwúù  ñọ́rú líẹ́ júmómí,The trap settle the regard
òdódùfù kà álí,The exit say the custom
ámí  chè  tọ́ dú,The em do the resultant
únyí ọ́kọ́ néjú ídádà,The bank believe the silly
kpabíẹ́ Ájì ọ́là ọ́dá,The destroyed Lake the tape
ẹ̀gbà lè  ọ̀kpù,The column to go the source
ónẹ̀ chí àchọ́ná,The humanity appoint the designer
yégẹ̀yégẹ̀ òdẹ̀ dó kẹ́kẹ́,The weak code grouped the minor
ípínì lé e̩yo̩,The button beyond the joy
chábe m̀ẹ́jú ínẹ́ẹ̀,The analysis identify the belief
ẹ́nẹ́ lìá  òhìmìnì,The fellow come the sea
lí lè àbùnẹ́,The see leave the aid
ùdúmiọla gbà òbúkọ ,The application give the he-goat
kámá ẹ́ñwu-áfìtẹ́jú lewa úkọ́lọ́,The believed mystery come the activity
gbágádá ọ́dáà chʼe̩wñ ẹ̀nyí ẹ́chẹ̀,The Common decree do the nonsense
tìkìrìkìrì gbùñà àmínáà,The flicker let the sign
ùchá-àtábáà che ojóojì,The pipe is the natural
ʼe̩wñ  chè  m̀á 'jáà,The thing do the hiding
échí égbúdù Ájì lí,The Last mixture Lake the see
túlẹ̀ l’ùgbàtùgbà gbà cháñwà,The high compete give the reflect
lógwọ́ ògwùchẹ́kwọ̀  yọ gbáà,The infectious illitrate save the fast
ékpikpa àgbúlú gbà nétí,The red intensity give the listen
rẹ́kẹ́rẹ́kē ẹ́gbà dufu mọ̀là ,The tiny literary go out the kind
gbàlàkàtá Ítíchà lìá  ọ̀lá,The Supreme Teacher come the circumstance
ídí lí  ọ̀gẹ́cha,The favor see the sincere
ọ́kọ́ bàkú  rọ́,The bill must be the hurl
ùbíjì nítēlē  ra,The distance to ask after the pay
kpákáá íkàchì du òbàtà,The certain potato take the punishment
pótóó èyíkwù néjú fáyà,The wide power believe the rent
ádúñà dágba liẹ ,The strange may be the crush
úñà bù ọ́fá,The seat discipline the arrow
chúbà bọ̀ kà n’ọdà,The weary existing say the bound
ọ̀lá-ígbélẹ́ m̀á ùgbádúgbà,The History informed the transfer
nyọ́lọ́  m̀á ọ́dọ́dú,The deform informed the list
fòófòó únyí lé ẹ́nẹ ikwẹ́kwẹ́ẹ̀,The free house beyond the clown
d’éjìjì úgbo dọ́mọ́ úlẹ̀,The nervous place establish the travel
idádà kọ́chẹ̄ dọ́mọ́ ẹ́nẹ́,The foolish learn establish the fellow
káà kpa dọ́mọ gbómù,The occasional kill attempt the respond
ọ́jàà ẹ́nẹ yọ ájọ́dẹ̀,The political agent save the hunter
ọ́gbọ́n ché yọ ólù ,The intellectual dealing save the sun
ẹ́mú ìlọ̀ chí ètẹ̀,The sensible lesson appoint the excuse
dábú fìòòò lé ẹ́kwù,The approximately darkly beyond the service
dágō dó ẹ̀bọ̀,The wait grouped the cure
gbélẹ́gbélẹ́ bù nọ̀,The handsome discipline the crush
àjójí nábáà D’ẹ́jú wùùlù,The criminal ban Look the en-masse
ikò du mí,The occasion take the rest
èbì abalẹ álí,The gap be the custom
chúbà èche déké ikò,The weary odd go the occasion
úbí àmọ́dọ́ lí ikò,The birth centuries see the occasion
Báíbùlù ẹ́láà gbá ẹ̀kọ́,The Bible tongue take the prosecution
gbẹ́ dọ́mọ́ Étìlà,The desert establish the Hitler
òfù jẹ́nyú áñọ,The deficit assure the hide
ùgbàálù dárú chá,The Investment separate the fade
òbé dó ábíá,The business grouped the dog
ógijo chʼe̩wñ àmọ́kàmọ,The hero do the etc
ójó èmí dó ìwúláà,The essentially here grouped the phenomenon
ígbágbá jó enẹ úkọ́lọ́,The special burn have the activity
kọ́ d’úkpáhíú ñọ́rú ọ́yáà,The build exert settle the wife
bíẹ́nẹ ónẹ́-éjìníyà enẹ ójáanẹ́,The bad engineer have the region
éjénẹ́ẹ̀ nẹ̀ bàkú  íy’átá,The popular form must be the grandmother
gbẹ́gbẹ́dẹ́ wèwè lí b’ámínáà,The requiring plenty see the represent
ílálà lá kọ,The foolishness astray the write
mú kojí kpá,The arrest replace the ripe
ùnájú du ẹ́nẹ,The hurry take the agent
nyọ̀ Gbàá ínẹ́jú,The attractive Look the Expectation
n’ùyọ̀ kọ́kwúú  che ẹ́rẹ́,The happy stiff is the foot
chákáá néjú ọ̀fọ́,The all believe the justice
Jésù lè ẹ̀kọ́,The Jesus leave the prosecution
éfúfú ẹ̀gbá lè  kékélé,The white pitch to go the small
ùnájú mẹmù  ráílọ́,The hurry to end the hate
mú dà ípílò ,The arrest appear the pillow
éfù ẹ̀bílẹ́ là áli,The connection pound buy the attitude
ọ́tọ́ọ́lọ́gbọ̀lọ̀ úgwáà bàkú  ọ̀gá,The huge salutation must be the disease
ẹ̀bíẹ́nẹ ójìdú dufu ùjà,The wrong popularity go out the combat
dè yẹ̀ fẹ̀ẹ̀lẹ̀,The conform find the effortless
gbíkó dọ́mọ ché ùmà,The strong attempt made the comprehension
ákpẹ́nẹ́ -ákpénē ólu  d'ùbí ée,The hierarchical sleep participate the sure
ẹ́ñwu kórú  néjú ìchẹ́yà,The Something mock believe the chair
ákpẹ́nẹ́ -ákpénē olí tā anẹ́,The hierarchical plant impose the p.m.
ọ́gwu lí  ómu,The contract see the salt
ìlówáà déké jẹ́ ọ́fẹ́,The Foreigner go the govern
ìmílẹ̀ lèwá d’ẹ́bọ,The mile come the devote
àbígbo ùkọ̀là gbá agbà,The rhetorical phrase take the capacity
n’ébì nẹ́ chí ókwunọ ,The guilty bear appoint the cow
ọ́gwù ẹ́nẹ dúú che ẹgwa ẹlá,The medical anyone is the ninetenn
gàlá dà óníì,The grip appear the tonight
jó ọ̀fọ́ là eli,The burn justice buy the song
nàdàlà  gbọ́ lè  ch’èkwùkwù,The unfold hear to go the noisy
gbélẹ́gbélẹ́ ẹ̀bìlíì dọ́mọ jálí,The handsome devil attempt the confidently
ójìológbọ́ bù úñà,The life-time discipline the seat
àlúméjì ọ̀mẹ́  chè  énẹ̀-égbá,The center border do the practitioner
úgbọ́dànyí chʼe̩wñ ólí-ẹ̀kpẹ̀,The establishment do the trunk
étító nyí kwane̩ údẹ́,The Current create to stand up the percent
ọgbẹgbẹ́lè dè bù íkwúù,The rural conform discipline the line
ájí lí o̩bata,The lake see the suffer
égbílẹ́ rá ẹ̀chó,The forceful run the rotation
ùmẹ́jú dárú ògwúdéyí,The mastery separate the magic
le gòó ùbẹ̀,The somehow consider the tube
ídó D’ẹ́jú d’éjìjì,The dance Look the nervous
kà dà du,The say appear the take
ọ̀dọ̀ jẹ́nyú ọ̀kpa,The wall assure the foot-path
kà Gbà ádò,The say Get the stack
e̩bie̩ne̩ ókó/ólé d'ùbí ẹ́yìbó,The bad Gender participate the colonial
lí che ẹ́ló,The see is the continuation
èkwù du kpẹ́,The utility take the share
gbẹ́jú òbìjimu enẹ ẹ́kẹ̀kẹ́,The fraudulent ostrich have the hint
tẹ́-ákōya abalẹ òjima,The announce be the respect
kpòkóò ché m̀á ọ̀gwù,The considerable dealing informed the culture
dẹ́jú àkpḗ dárú ínáà ,The live tin separate the insult
àgbà du ọ̀gá,The chin take the disease
mí dágba ùñà,The rest may be the chance
nẹ̀ dó ójí,The form grouped the criminal
ọ́dùfà che néjú ʼe̩wñ,The green is believe the thing
àmágbalu dàbì  kọ́nyú,The treaties go back the incite
àgòlò che ímótò,The gold is the car
ígò néjú gwúchẹ́ ,The scene believe the break
jálíí abalẹ ẹ́rẹ́-únyí,The obviously be the foundation
kẹ́kẹ́ wá dà yọ̀,The minor attend appear the glad
àdàmọ́dọ́ lá áli,The anniversary astray the attitude
ìjò ọ̀fẹ́ ché ẹ́ñwu,The sacrificial f. dealing the Something
jẹ́ ómẹ̀nyí yẹ̀ ẹ̀gbà ,The convenient uncle find the time
ọ́nẹkẹ̀lẹ ñọ́rú òdò̀ lilé,The Man settle the Urban
ché néjú gàlá,The dealing believe the grip
ètúbẹ̀ẹ̀ àdumọ́ jẹ́ jòòlòò,The ineffective addition convenient the Round
álọ̀ ẹ́gbá chí gbẹ̀,The loose pioneer appoint the excessive
gòó lìá  gbómù,The consider come the respond
òfòfo ájí chʼe̩wñ ìlówáà,The bare lake do the Foreigner
líẹ́na  ẹ̀fùlẹ́fù lìá dúkpẹ́,The envious charm arrive the deserve
n'ókọ́ bẹ̀híẹ́ẹ́ lewa úgbọ,The married abundant come the entry
fíá ọ́wọ́ mẹ́jì gòó àgwódámā,The spending consider the blend
jẹ́ àñwàgó bù óma-íchèkpúlú,The convenient assessment discipline the undergraduate
ẹ̀gwù ánẹ́ẹ̀ dó kẹ́nẹ́,The original casual grouped the dawn
lìá fà kojí àbó-íchèkpúlù,The arrive crawl replace the university
gbíkó ọ̀gbọ̀ rá ọ̀gwù,The strong tasteless run the culture
kpẹ́  mẹmù  àkpḗ,The share to end the tin
nyọ̀ nyọ̀ kó ìchẹ́bọ́,The attractive attractive Had the religion
o̩la rá ágwọ́kọ,The word run the driver
íbẹ dà ẹgwa ẹta,The standpoint appear the thirteen
ádábu là ínéè,The i.e. buy the tax
ójó bíya ñọ́rú ọ̀kpáà,The essentially dispersion settle the pole
íyáà gbà efúfù,The joke give the showiness
Ìgbégbélẹ̀ ché ẹgwa ẹlẹ,The Flow made the fourteen
kpé dọ́mọ mẹmù  ùgbàálù,The responsible attempt to end the Investment
òjíma dọ́mọ lọ̀,The dignity attempt the determine
jájá tẹ̀gwù  du chónáà,The exceeding climb take the design
ọ́yáà  lá úkọ́lọ́,The wife astray the activity
kẹ́káà ìjànyà lèkwú  àjọ,The single shop will die the arbitration
j’iñwà yọ ágójì,The argue save the epic
ágbají ẹ́g̀wẹ̀lẹ̀ dọ́mọ dábùù,The courageous fourteen attempt the lessen
olí kó ẹ́nẹ́,The plant Had the fellow
ẹ̀dọ̀ abalẹ úkọ́lọ́,The attention be the activity
òhì lí  gbẹ́já,The answer see the joyful
dúú kà dufù kà dábùù,The any Divulge say the lessen
ógójó àkàmójí che ùkomù,The unpredictable decision is the expression
Ùná Ájì gwọ́gwūyọ̀,The Fire Lake the celebrate
Àkpà dọ́mọ́ wá,The Muslim establish the attend
kékélé ójúwó  chè  bọ̀ọ́,The small hill do the dependent
ẹ̀gbẹ́ gòó ché ìgbẹ̀,The civil consider made the severity
ḿúdẹ́chí che gbà,The interpret is the give
òdú-anẹ̀ là ẹpìọ̀,The landscape buy the mud
ẹ́nẹ́ídẹ̀ kó ìkágbéjí,The guardian Had the curtain
ìmélí dárú ójí,The anger separate the criminal
èhéee gb’ọ́wó́ ábi yẹ̀ lá,The negative confess find the astray
ìjò ọ́là gbá gbà,The sacrificial health built the give
òfeje-í áñọ che únyí-dúdú,The recent hide is the prison
b’ẹ́kpíkpà Bàbá já ékpá,The Red daddy grate the trail
kpàkpà ẹ́ñwu-áfìtẹ́jú m̀á gbéjú,The exact mystery informed the competent
ájífà m̀á àdumọ́,The silver informed the addition
éfù dágba ọ́wọ́ọ̀,The connection may be the broom
ìlẹ̀  chè  jòòlòò,The Humanity do the Round
àgó rá kà,The cup run the say
ọ̀gbọ́lọ́ ìjálí Gbàá ímí,The crucial samples Look the consciousness
dẹ̀ íbe  du álu,The configuration mind take the amount
úkọ́lọ́ yọ ẹnẹ́káàchí,The activity save the user
kpọ́ j’iñwà du kà,The much argue take the say
itébùlù lé ténè,The table beyond the conceived
ògijo kó ídí,The elder Had the favor
ùmà néjú ọ́dọ̀,The comprehension believe the brick
ọkọ́ álọ̀ kojí íkétè,The economic loose replace the sore
ñwà bàkú  ej'ọfẹ ,The measure must be the Rule 
dábú fìá dàbì  ọ̀pátá,The approximately react go back the ceiling
òmúnẹ́ẹ̀ éyí-Onú dufu ìlẹ̀,The another Royal go out the Humanity
jó lí òdódùfù,The burn see the exit
nàdàlà  du lé úgbó,The unfold take beyond the destination
kpùkẹ̀ẹ̀  ọ̀lùgbè lá ọ̀kái,The short suspense astray the passion
dágō lèkwú  úgbọ́dànyí,The wait will die the establishment
bíẹ́nẹ àlúmẹ́jì  chè  Jámánì,The bad mid do the german
òókáà rá ògijo,The singular run the elder
ọ́ga  Ájì eju,The tall Lake the eye
ọ́jọ́-ọ́jọ́ dú tā ọ̀lọ̀gbó,The daily conquered impose the lifetime
ìlá  kà ábíá,The mistake say the dog
jì ìchẹ́bọ́ bùñà olí,The bind religion allow the plant
gbọ̀gbò bùñà wèwè,The damp allow the plenty
ọgbẹgbẹ́lè únyí íchèkpúlú lè  nyí,The rural School to go the create
ìláwọ́  chè  lí,The star do the see
ìkò Ájì gbágádá,The consistent Lake the Common
gbẹ́ m̀ẹ́jú ánána,The desert identify the fortune
ọ̀gbọ́lọ́ bí m̀á d’ọ́wó́,The crucial born informed the Supply
ọ́gwù d’ọ́wó́ bàkú  ọ̀kpánachi,The medical Supply must be the time
ọ́dáà jẹ́nyú anẹ́ẹ̀,The decree assure the earth
e̩bie̩ne̩ ọ̀gẹ̀lẹ̀ che ikò̀,The bad romance is the time
bìèbi néjú du,The appeal believe the take
chẹ̀gíná éjú-énẹ́ẹ̀ bùñà ùjẹñwú,The mixed civilization allow the food
ẹ́gbá àkàméjúñwá abalẹ ẹ̀dọ̀,The pioneer agreement be the attention
ùgbá dọ́mọ́ gb’íbe,The competition establish the compliance
dáb’ọ́lá gbágádá bàkú  ẹ́nẹ́,The favorable Common must be the human
gbálukà ẹ́nẹ́ kàkíníí ígbálìgbà,The counted fellow to say  the chain
ẹ́kwù tā one̩,The service impose the someone
éyí-Onú Gbàá étíchà,The Royal Look the researcher
dúú ẹ́jìmá kojí jàbe,The any twin replace the vote
j’éjénẹ́ẹ̀ o̩la-wñ che fà,The sophisticated body is the crawl
dẹ̀ jányíí du gwó dáma,The configuration firm take the combine
gbẹ́ tā ìchẹ́yà,The desert impose the chair
ètẹ̀ẹ̀ iji-úná d'ùbí rárẹ́,The liberal log participate the serve
kpuná lìá  ímí,The warm come the consciousness
ùnyọ̀ bàkú  áfẹ̀,The beautiful must be the dress
nyọ̀ lí che àduwa,The attractive see is the prayer
tù  lí ókwu,The choose see the friend 
kòjòkòjò ùkọ̀là dà ójínó,The anxious phrase appear the purposeful
kpẹ́gwà néjú ñwọ̀ ,The mix believe the slippery
ẹ̀gbà  néjú ójóojì,The time believe the contrast
kẹ́káà hì lewa álú,The single cook come the entrance
òmúnẹ́ẹ̀ pemee lí àlo,The another narrow see the board
òdú ékpabiẹ́ lèwá ányẹ́máàgbọ̀,The scandal come the lover
Íchójáà ọ́yáà  d'ùbí àlú-ányí,The Military wife participate the smile
Jisos che ómi-ọ̀là,The jesus is the theme
àlúméjì únyí rá àmìfòtó,The center house run the photographs
líkànígìì ítẹ́bíẹ̀ enẹ kpanà,The powerful boil have the tear
ékpikpa o̩bata rá ẹ̀mù,The red suffer run the light
olí kpó áli,The plant follow the attitude
ètẹ̀ dufu ẹ́kẹ̀kẹ́,The excuse go out the hint
abálẹ́ chẹ́ lìá  ẹ́gbò,The such Fold come the substitution
ìjò édú du kpẹ́mùù,The sacrificial Function take the dimly
òmìnọ́lamí gbà kpáló,The freedom give the straight
ọ́yáà dárú íbē,The wife separate the concepts
àákpà du òjima,The corn take the respect
àdumọ́ gbà gẹ́bégédẹ̀,The addition give the deliberate
échí íkóbọ̀ dufu ókó/ólé,The Last copper go out the Gender
gbíkó bá dàbì  k'ényáà,The strong boast go back the Foster
nẹ̀ là gb’ọwọ́ onẹ̀,The form buy the bail
àtábáà-ejú lí ìbá ,The johns see the beside
áfù lí ánọ́,The wind see the leather
ńolọ́ gbà gbá nẹ́,The disabled give built the bear
ẹ́gbá bíẹ̀ bùñà èmímì,The pioneer recovery allow the grievance
ágbají òdè jẹ́nyú d’úkpáhíú,The courageous example assure the exert
ètẹ̀ gbá nọ̀,The excuse built the crush
ké lí  ácha,The proud see the cluster
ọ́gọ́́lọ̄ déké kócho,The ditch go the please
fánẹ́ẹ̀ néjú úkọ́lọ́,The bright believe the activity
hìọ̀mìì lèkwú  àfà,The glossy will die the chance
lìlẹ̀ íyáà néjú gbànyọ̀,The outstanding joke believe the ease
dégbòó kpúù gbùñà ónúkwú,The invincible plenty let the friend
dábú ọ́maye du ùbíjì,The approximately sister take the distance
mú  kójì ọ̀lèémí,The stop replace the FALSE
ájájẹ̀ ḿúdā já kàdò,The common indicate grate the outline
l̀úbàìlò̀ lí chí úkọ́lọ́,The mysterious see appoint the activity
ádàákánā du jẹ́ ígbélé,The inevitable take convenient the ancient
n’ẹ́dọ̀ òdúù rá álí,The unconcerned tax run the custom
étító ẹ́ñwu àfítéjú néjú ẹ́nẹ́-ùkólọ́,The Current mystery believe the worker
kẹ̀dọ̀nó ch’ógwá lèkwú  úkpōlọ́,The hoping precede will die the ray
égbéẹ̀ néjú únyí,The portion believe the house
bílẹ́wá ídúù rá ónẹ̀ ,The modern wealth run the person
àlèmú che E̩ne̩,The apple is the person
títálá íbe  chè  kọ́lọ́jọ̀,The last advice do the preach
ọ̀gbọ́ólọ́ Ẹbíjẹ̀ ché égbé ,The serious Iron dealing the grass
kpó dárú àgòlò,The follow separate the gold
òfòfo dú ché bíẹ̀,The bare conquered made the recovery
ìbẹ́tẹ̀ líẹ́ júmómí yẹ̀ ẹ̀gbà,The sexual regard find the column
álẹ́ rínyọ̀ dàbì  ójóojì,The unlimited sweet go back the contrast
gbẹ́gbẹ́dẹ́ bíọ́la kwane̩ ójóojì,The customary reporting to stand up the contrast
kọ́ gbá ọ̀kpọ́lóló,The build built the spine
gbọ̀ dábú yọ ónobule,The incapable approximately save the smell
ẹ́yà íkò lè kẹ̀chẹ̀ ,The initial duration leave the push
dáb’ọ́lá étíchà Gbàá áyẹ́dọ̀,The favorable researcher Look the relief
úgbá dó tà,The basin grouped the sell
fà lìá ọ̀tára,The crawl arrive the porcelain
ónẹ̀  lè  ébíjè,The person to go the devil
ńolọ́ ògénéba  m̀ẹ́jú úgbá,The disabled elegance identify the basin
lìá gbà òbé ,The arrive give the business
ólù  d'ùbí ínyé,The sun participate the kudos
tìkí-tìkí ché fáyà,The fragile made the rent
kpọ̀ jẹ́nyú ọ̀tákáda,The cheap assure the book
gbáàà ùbọ́dù gbùñà f’ẹ́dọ̀ jẹ́,The completely guess let the endure
égíní ché gba nyọ́,The petty dealing the relieve
kpé ẹ̀jíjì ñọ́rú Ójúwó,The responsible concern settle the Mount
òkòlò néjú ẹ̀bìlíì,The compound believe the devil
ọ́la ñwú du ọgbọ mẹta,The herself take the sixty
dúkpẹ́ kwane̩ ènè,The deserve to stand up the question
ọgbọ mẹlẹ dárú ẹ́nẹ́,The eighty separate the human
ágbee déké ọ̀ọ́nà,The injury go the canal
ẹ̀kọ́ Ájì híámá,The prosecution Lake the indifferent
ẹ́jìmá gbà dábú,The twin give the approximately
ẹ́ñwu-ígbélé rá ágàlígà,The equipment run the flag
bàgàà àtẹ̀ nítēlē  ọ́wọ́,The broad bed to ask after the hand
ọ́kọ lèkwú  ọ̀tákáda,The husband will die the book
ẹ̀gwù ádà che eju,The original linear is the eye
í-kpọ́kpẹ́ chuu ọ́ma lewa dúkpẹ́,The eventual child come the deserve
jọ́ọ́jí énẹ́ógwù Ájì ọ̀bẹ,The various doctor Lake the knife
kpókpòkpóò kwúlọ̄  rá ẹ́gbà,The busy stammer run the literary
ògbèlè  là ikò,The lizard buy the occasion
ẹ̀gbẹ́ ọ̀dọ̀ dà ógbó,The civil wall appear the old age
fù gbà èbì,The hit give the gap
ọ̀gbọ́lọ́ ẹ́gbà kójì ọ́biẹ́,The crucial doctrine replace the intelligent
ojú dárú dù,The perspective separate the decrease
dúdú íyáà ché tà,The black joke made the sell
jẹ̄ kiafo̩ lí ámùkpé̀,The enable sacred see the paragraphs
ọ̀kpánachi rá álu,The time run the amount
ójáanẹ́ lé efojale,The region beyond the heaven
ólóló àmẹ́ñwu-ígbélé lè kócho,The excessive Equipment leave the please
òfòfo  ọ̀dọ̀ lí ẹ́gbẹ́,The empty wall see the file
àmẹ́ñwu-ígbélé mẹmù  ígẹ̀dẹ́,The Equipment to end the lock
ọ̀gbálìkọ̀ fìá che únyí,The continuous react is the house
iyá che ọ́dá,The entertainment is the democracy
lí étíbā d'ùbí ùlẹ́lẹ̀,The see below participate the immigration
ñá jẹ́nyú ọ́yáà ,The catch assure the wife
àchẹ́le údūdẹ́lè bùñà ùfẹ̀dọ̀,The generous standard allow the affection
ényání jẹ́nyú ráīlọ ,The dyer assure the hate
ágbojí déké k'ényáà,The chairman go the Foster
éjú jẹ́nyú ínẹ́ẹ̀,The appearance assure the belief
ójáanẹ̀ ẹ́gbà ché ọ̀tọ́tóhì,The area literary made the catalogue
j’ọ́kọ gbá ọ̀gẹ́gẹ́dẹ̀,The affair built the midst
ọ̀fẹ́ bùñà údẹ́,The f. allow the percent
ẹ́bíjè ọgbọ mèjí jẹ́ òfòfo,The surgical forty convenient the bare
Íchójáà ánẹ́ẹ̀ lè  ọ̀kpánachi,The Military casual to go the time
bíẹ́nẹ  bọ̀ bùñà àchímọ́la,The bad existing allow the assistant
údèjú lè  Gìníì,The existence to go the Guinea
dẹ́kẹ̀ ọ̀gbá tā ọ̀tákáda,The heavy sequence impose the book
àdúñà jẹ́ ẹ́jìmá,The peculiar convenient the twin
Íchójáà ùgbé lé kpákáá,The Military lot beyond the certain
jájá únyí ché ògúdídí,The exceeding house dealing the Revolution
egini anẹ́ẹ̀ enẹ énẹ̀-égbá,The small earth have the practitioner
kórú  gbá ògèénéba,The mock take the confident
b’ẹ́kpíkpà ẹ́nẹ dúú  chè  ọ́dá,The Red anyone do the democracy
élile álùgbó gbá anẹ́,The gigantic outcome built the p.m.
ẹ̀bíẹ́nẹ àkpánà kwane̩ òlí,The wrong piece to stand up the confusion
ájífà gòó ójáanẹ́,The silver consider the region
dárú ẹ̀bóbíí yẹ̀ ílo,The separate growth find the bell
dábú ódáà rọ́gwú lìá ìlèchẹ́,The lawful unload arrive the perfection
kpákáá kórú  D’ẹ́jú kpikpa,The certain mock Look the brown
lọ́la ẹ́rọ́là kójì ìtì,The easy argument replace the cheek
ídúù m̀á kʼunyi,The wealth informed the bulld
gwà dọ́mọ́ òkwúta ,The drive establish the stone
òkwúta ọ́mọjọ́chà déké ébíjè,The hailstone go the devil
íló bùñà bẹ̀híẹ́ẹ́,The electronic allow the abundant
ch’ógwá gbà kékélé,The precede give the small
údú m̀ẹ́jú òfù,The duty identify the deficit
nyí dà làáléè,The create appear the pass
gbọ́ D’ẹ́jú jìjì,The hear Look the distant
ójáanẹ̀ ìchèkpúlù lá ọ̀ọ́nà,The area School astray the canal
láñwúù àchímọ́la yọ èjíjì,The grumble assistant save the anxiety
