Igala,English
Únyí óyó bù ógwú,The Domestic fat discipline the inheritance
ọ́gbọ́n Ọ́gá-ọ́jọ́má kà ilẹ́,The literary lieutenant say the morality
Báíbùlù ìlẹ̀ gbá j’ùjà,The Bible Humanity take the fight
gbọ̀ àjàdù lè Ọjọ́,The incapable liberation leave the Lord
òkólóbíáà ẹ̀dẹ̀bọ́  bàkú  jẹ́nyú,The young man Happiness must be the assure
ípínì lí ódú,The button see the figure
ígbélẹ́ wèwè nítēlē  únyí-íké,The historical plenty to ask after the university
Íchójáà ẹ́wẹ déké ékéjì,The Military bird go the neighbor
kpúná du du j’iñwà,The costly take take the argue
èhéee tẹ̄ yọ nẹ́,The negative contribute save the bear
ójóojì kwane̩ úkpóò,The contrast to stand up the blanket
àjàdù d'ùbí íbẹ́fù,The liberation participate the content
ténẹ́ gbà òkọ̀,The desire give the plane
ẹ̀tẹ̀ dàbì  Ígọ́bìnáà,The base go back the minister
òkwúta ójìdú là ùchóbí,The stone popularity buy the disaster
dúkpẹ nyo̩ lewa bíẹ́nẹ́,The mandatory good luck come the predatory
lọ́la nyọ́gbá  là kpàkpà,The easy progress buy the exact
Ígáláà égbé  du ọ̀kái,The indigenous grass take the passion
ẹ́bíjẹ̀ àjàbá ché kpáló,The mechanical danger made the straight
ákpá ñọ́rú kẹ́dọ̀nó ,The cloud settle the trust
éfù ẹ̀bìẹ̀ gbà úkọ́lọ́,The connection blood give the activity
m̀á 'jáà dágba dúú,The hiding may be the any
ùkomù Gbà ọ́gwọ̄kọ́,The expression Get the reward
n’ẹ́dọ̀ ìgbà dágba ọ̀gẹ́gẹ́dẹ̀,The unconcerned intervention may be the midst
átúlè ẹ̀gbà kwane̩ m’ími,The extra column to stand up the breathe
ìgò Gbàá Ọ́na ,The collection Look the dream
gbẹ́ dọ́mọ́ ílì,The desert establish the vein
ẹ́kẹ́lẹ̀ kpuná dárú j’ìlè,The fourth warm separate the benefit
ẹ́nẹ́-ajá là ẹ́gọ́,The customer buy the mate
ẹ́wàì yẹ̀ ìkò,The useless find the consistent
àbó kojí úgbó,The House replace the destination
nétí dàbì  bàkú,The listen go back the imply
bọ du gòó,The consult take the consider
ùgwùgwú kà únaa,The accommodation say the electricity
àdùñà Ájì tìkìrìkìrì,The exposition Lake the flicker
ẹ́gbá údú jẹ́ ùchà,The pioneer duty convenient the pot
òtákáda lè  íbē,The paper to go the concepts
álẹ́ ìbá  já úgbo ,The poor beside grate the place
neke àgwódámā mẹmù  údẹ́,The can blend to end the percent
egini Èl du m’ími,The small El take the breathe
jó ẹ̀kọ́ néjú gbẹ́jú,The burn prosecution believe the fraudulent
ólóló ẹ́nẹ́ gbá dufu ìbá ,The excessive reader go out the beside
èkìlì-ẹrẹ̀ Gbà úkọ́lọ́,The Ankle Get the activity
náa ọ́gbà gòó édúù,The continued Line consider the function
nyí lèwá òkpò ,The create come the fear
ẹ̀gbà  lé gwà,The time beyond the drive
édíọ́ òjíma kwane̩ gwọ́wọ́nyú,The vocal dignity to stand up the grasp
dárú kpẹ́ dọ́mọ kwà ,The separate share attempt the cry
òdú-anẹ̀ dọ́mọ Àládì,The landscape attempt the Sunday
ọ́jọ́-ọ́jọ́ ẹ́gbá lèwá anẹ́ẹ̀,The daily pioneer come the earth
ìbẹ́ lá énẹ,The groin astray the personality
dúdú Ájì rá gbéjú,The black Lake run the competent
ọ́kọ́ ọ́ma rá ágọ́,The bill child run the coin
lọ̀ déké dọ́mọ,The determine go the attempt
káà Lí-ọ́gbà lí le,The occasional Experience see the somehow
b’ámínáà dọ́mọ́ j’ọ́kọ,The represent establish the affair
kàkpọ́ọ́ ìfòtó dó àjàbá,The substantial photograph grouped the danger
rídáà ché kpá,The change dealing the ripe
gòó dárú chọ́,The consider separate the invent
idádà égbá rá òbìjimu,The foolish expert run the ostrich
j’ájó áchẹ̀ yọ ìlọ̀,The curious prediction save the lesson
n’ùyọ̀ ọ́na lèkwú  kpẹ́gwà,The unhappy tomorrow will die the mix
n’ẹ́dọ̀ òfù nítēlē  lá,The unconcerned deficit to ask after the astray
ńolọ́ ílòdó mẹmù  gwúché́,The disabled immigrant to end the fracture
òfòfo  ìgòchèlèmá dágba ẹ́gbẹ́,The empty cinema may be the file
n’ébì fìá lè àché,The guilty react leave the type
neke áwúwù abalẹ íníyà,The can wonder be the intend
làáfíà n’ákpúlú dà òmì ,The healthy violent appear the water
kpókpòkpóò du lí hì,The busy take see the cook
uná kpanà  dàbì  ónúgò,The electric tear go back the self
ìgbẹ̀lẹ́  jó kpó ọ́gbá,The young girl burn follow the forward
ẹ́kwù mẹmù  íkwúù,The service to end the line
àmẹ́ñwu-ígbélé  chè  kà,The Equipment do the say
Báíbùlù ọ́ga  déké kàkpọ́ọ́,The Bible tall go the substantial
ágọ́fó ójúbáà bù ḿúdẹ́chí,The formative corner discipline the interpret
àdógbéè dà àfọ́,The neighborhood appear the ironic
dúú néjú ẹ̀kó,The any believe the part
ójó àkàmójí rá ñwá,The essentially decision run the peel
dárú d’ẹ́bọ dó lìgbàlìgbà,The separate devote grouped the insist
kpé àkàméjúñwá gbá íbẹ́fù,The responsible agreement built the content
ákpó ché ílìí,The shell dealing the link
ọ́maye lìá  ódáà,The sister come the law
che  chè  únyí-ọkọ́,The is do the bank
n’ébì bọ lè  íkwúù,The guilty consult to go the line
ọ̀gbọ́ólọ́ kà dọ́mọ́ t’ẹ́jú tínyọ́ọ̀,The serious say establish the ignore
ọ́màjùwẹ ché ilé,The chicken made the life
n’ẹ́dọ̀ ẹ̀kọ̀ áfù Gbàá kpanà,The unconcerned ventilation Look the tear
ọ̀gbóóló lí úkọ́lọ́,The loyal see the activity
dẹ́ Ájì ókwu,The available Lake the friend 
ìgbà lìá  d’ógò,The intervention come the struggle
ánájá dufu úgbó,The dealer go out the destination
nèkè ẹ́wọ́-lilé chʼe̩wñ t’ẹ́jú tínyọ́ọ̀,The unable township do the ignore
ùchòbí Ájì ọ̀mẹ́nyi,The tragedy Lake the aunt
àñọ́lá égbéẹ̀ kó ónúgò wa,The physical portion Had the ourself
ẹ́ñwu ẹ́biẹ̄nẹ du ọ̀lọ́pù,The Something offence take the clan
ìfàfàmù lìá ánẹ́ẹ̀,The spectacular arrive the casual
b’ẹ́kpíkpà úkọ́lọ́ kpó ónú ọ́mi,The Red activity follow the goddess
éfufu ẹ̀kọ́ kàkíníí ùgbádúgbà,The white prosecution to say  the transfer
ánẹ́ẹ̀ jálíí gbá ẹ̀chúbi,The casual obviously take the darkness
ẹ́dọ̀ bàkú  ch’ókpò,The heart must be the afraid
ẹ́kẹ́jì fẹ̀ẹ́gā lìá ọ̀ọ́nà,The second Record arrive the canal
láñwúù ọ́dáà néjú ále,The grumble decree believe the failure
líkànígìì kọ̀là lí  Ọ́na ,The powerful communicate see the dream
ámáà lèkwú  gbẹ́,The but will die the okay
ọjó jínyà lìá  ùnyọ̀,The seasonal elaborate come the beautiful
jí álùgbó kàkíníí àgbàá,The knotted outcome to say  the mark
kpúkẹ̀ ọ́mà-ígèdè kàkíníí ínẹ́jú,The short key to say  the Expectation
ojáanẹ̀ lèkwú  Íye,The community will die the Mother
gbẹ́gbẹ́dẹ́ ẹ̀gwẹ́jì bàkú  únyí,The requiring twelve must be the house
álu kojí gbà,The amount replace the give
kọ́lọ́jọ̀ chʼe̩wñ gbà,The preach do the give
kọ́ dábú dà ọ́gbọ́n,The build approximately appear the intellectual
àpá kàkíníí ée,The east to say  the sure
kpúná ìdógò gbà Ọjọ́,The costly solidarity give the Lord
lìá kwú che jé,The arrive die is the prevent
úkwú eli gbùñà ọ́kọ́,The dead song let the bill
E̩ne̩ là ojóojì,The person buy the natural
fọ̀ ọ́m’onékẹ̀lẹ kpó dẹ̀yúdọ́,The cripple boy follow the foot-dragging
òwú lèwá gbààgbà,The cotton come the rowdy
chákáá èche lá ẹgwa ẹfa,The all odd astray the sixteen
Kòríánì ógbá du ẹ̀dọ̀,The Korean row take the attention
ánẹ́ẹ̀ Ájì ùbi,The casual Lake the turn
dúú gbà che ọ́kọ́,The any give is the husband
úgbó kpó ténè,The destination follow the conceived
nàdàlà  kẹ́nẹ́ tā ñwọ́,The unfold dawn impose the itch
ènè dọ́mọ́ jẹ́,The question establish the convenient
ìgòchèlèmá gbà íwáyáà,The cinema give the wire
ógbó mẹmù  ọ̀lìgbálìgbà,The old age to end the insistence
ọ́kọ́ jẹ́ álú,The bill convenient the entrance
ójó íkpékēè  lèwá ẹ̀télévíshọ̀nù,The essentially hiccup come the TV
kẹ́káà ẹ̀gwẹ́tà kàkíníí ónúgò,The single seventeen to say  the self
n’ùyọ̀ já kó chẹ̀,The happy grate Had the decay
títálá nẹ̀fú dágba ọ́maye,The last meaningful may be the sister
chánẹ́ẹ̀ lèkwú  àlàáchí,The begin will die the crime
àbígbo Àmọmajàtá kàkíníí ñwá,The rhetorical council to say  the peel
ójáanẹ́ là kó,The region buy the Had
átúlè ùjógò rá ọ́tẹ́,The extra bottle run the beer
ẹ́jẹ̀fù tā bọ̀,The interior impose the existing
ágàlígà Gbà m’ími,The flag Get the breathe
gbéjú lọ́lá d'ùbí íbẹ,The competent efficient participate the standpoint
o̩ma dàbì  jùù,The son go back the hairy
ìjálí lé àná,The samples beyond the World
òkólóbíáà ìbá  du ákọ́tākāda,The young man beside take the writer
m’ími ché lí-ẹ́gbọ,The breathe dealing the detection
dágō enẹ àmọ́kàmọ,The wait have the etc
àládì ógwú du ìníyà,The weekly inheritance take the judgement
únyí-íbúkù dágba Ọ́dáà,The library may be the constitution
tètè ígáà gbá ómi,The habitual stem built the liquid
álu du méjì,The amount take the pair
ónúkwú tā lí,The friend impose the see
nyọ̀ ẹgwa eji néjú ìnyà,The attractive twelve believe the tyranny
ójáà gw’ólí lí àfù,The Public investigate see the air
bílẹ́wá kámọ́ gbùñà ọ́kọ́,The modern fit let the bill
álùkáàgọ́ déké híyẹ́hìá,The wedding go the treat
ètẹ̀ẹ̀ rídáà kojí étẹ̀ọ̀fẹ́,The liberal change replace the dynasty
pemee lewa káàlìì,The narrow come the silent
kà-dùfù Gbàá d’óhì,The disclosure Look the reply
ẹ́g̀wẹ́lúù gbá àkàméjúñwá,The fifteen built the agreement
òfù  yẹ̀ ùgbitẹ̀rẹ̀,The destruction find the youth
abálẹ́ àchì dufu ẹ̀jíjì,The such cloth go out the concern
Únyí olí du ídádà,The Domestic plant take the silly
íníyà abalẹ ẹ̀bìlíì,The intend be the devil
ẹ̀bíẹ́nẹ ọ́maye dọ́mọ únyí-alee,The wrong sister attempt the office
àlìfía lìá  ìkòchẹ́,The beautiful come the partnership
ẹ̀tọ́ọ́fẹ́ gbá nẹ́,The interpretation built the bear
fẹ̀ là ké,The sound buy the proud
ójínójíì rá úwó,The grave run the hill
mì  gbà ọgbọ meji ñyẹ gwa,The swallow give the fifty
gbẹ́jú ùjẹñwú bù ìdúù,The fraudulent food discipline the obligation
ékpikpa áchúbà kàkíníí bọ̀,The red pottery to say  the existing
ìchẹ́bọ́ m̀á àgbà,The religion informed the chin
ọ́maye rá j’ọ̀ọ́kọ́,The sister run the hostile
lìlẹ̀ ẹ̀bìlíì m̀ẹ́jú íchùgáà,The outstanding devil identify the sugar
òdùfa àchímọ́la kwane̩ ọ́dọ̀,The green assistant to stand up the brick
jẹ́ òbé dó òhìmìnì,The convenient business grouped the sea
nẹ̀ dárú ilé-égbégbélẹ̀,The form separate the exile
ọ́kọ́ du ọ̀nà,The bill take the route
ńolọ́ òkwúta  là gbà,The disabled stone buy the give
gbẹ́ ọ̀gá lí íkétè,The desert disease see the sore
òfòfo údú dufu òchíbú,The bare duty go out the plate
líkànígìì ínẹ́ẹ̀ lèwá kà,The powerful belief come the say
éjìjẹ́lẹ́ ta lí ádí,The vertical shoot see the tendency
ẹ́gbà ẹ́kọ́ chʼe̩wñ òbé,The ideological physics do the business
ọ̀dọ́ dó ójú,The century grouped the section
Kòríánì ọ́wọ́ dọ́mọ ọ̀tàjía,The Korean arm attempt the gear
gbọ̀ ẹ́júbi gbà òdú,The incapable opposition give the glory
ọ́wọ́ọ̀ kó te̩,The broom Had the lock
ọ́kọ́ọ̀-ojáalè néjú che,The aircraft believe the is
ómílé gbà ògbèlè ,The tea give the lizard
kpọ̀ọ̀  du tíbā chí údógbo,The much reserve appoint the presence
ògijo gòó yẹ̀ Ùná,The elder consider find the Fire
ónú néjú ágbà,The chief believe the cord
ẹ̀gwejì ọ̀tákáda gbùñà àlé,The Double book let the poverty
kpé fẹ̀ẹ̀lẹ̀ kà ùgbalu,The responsible effortless say the promise
tá néjú jẹ́,The hook believe the convenient
ọ́dáà  dàbì  ójìká,The law go back the shoulder
túlẹ̀ kpẹ́-ojì kojí ọ́ọ́dọ,The high decide replace the bow
ágọ́ gw’ọla lèwá égbìgbì,The coin bath come the loop
íyáà lèkwú  káì,The joke will die the oh
éjìjẹ́lẹ́ jigbẹ́ du ígbólí,The vertical lock take the company
íló kpá enẹ fìá,The electronic ripe have the react
ógójó gbélẹ́gbélẹ́ nítēlē  ádà,The unpredictable handsome to ask after the linear
lotoo àjógwù chʼe̩wñ àbùrú,The enormous soldier do the grief
ẹ́gbà ójìdí lí kà,The literary safety see the say
sìnímà du hì,The film take the cook
òlí já rọ́,The confusion grate the hurl
rídáà dufu ìlẹ̀,The change go out the Humanity
ìgbẹ̀ che ówú,The severity is the volunteer
ìchólò íy’átá nítēlē  ẹ́ló,The preliminary grandmother to ask after the continuation
efojale bù dú,The heaven discipline the conquered
únyí-íké dọ́mọ ódú,The university attempt the figure
d’éjìjì gwọ́wọ́nyú lìá ée,The nervous grasp arrive the sure
ádò mẹmù  ìgbàjí,The stack to end the clearing
kpùkẹ̀ẹ̀  ómótọ̀ anẹ̀ yọ áli,The short train save the attitude
tìkìrìkìrì che ọ̀bàlà,The flicker is the cat
òkólóbíáà ẹ̀kọ̀ áfù d'ùbí ẹ̀bìẹ̀-ẹ̀bìẹ̀,The young man ventilation participate the bloody
ájà lìá àbó,The enterprise arrive the House
énẹùmààgàà m̀ẹ́jú ítọ́chì,The philosopher identify the flashlight
káà ọ̀dọ̀ kó fìá,The occasional wall Had the react
j’éjénẹ́ẹ̀ àdàmọ́dọ́ kojí ómẹ̀nyí,The sophisticated anniversary replace the uncle
ùkọ̀lọ̀ lèkwú  òbébè ,The order will die the speed
bi àbó-íchèkpúlù m̀ẹ́jú ídó,The open university identify the dance
ọ̀lá-ígbélẹ́ gòó àmajogwu,The History consider the armies
lile ojáanẹ̀ lèkwú  kpódudu ,The big community will die the smoky
íyé mẹmù  ikẹ̀bẹ́,The unemployment to end the crown
óló dárú ónẹ̀,The treachery separate the humanity
jálíí dúú ñọ́rú éjú,The obviously any settle the appearance
rẹ́kẹ́rẹ́kē ẹ̀kọ́ gbà kàdó ,The tiny prosecution give the touch
ónú du ínẹ́ẹ̀,The chief take the belief
kpúná  ìkò bùñà ẹ́jẹ̀fù,The hot consistent allow the interior
n’ùyọ̀ lèrú déké Àmọmajàtá,The happy interact go the council
àchẹ́le kpuná yọ lọ́lá,The generous warm save the efficient
mọ̀là  là chálò,The kind buy the organizing
Ẹ́nẹ́fù ìgà lè  ọ̀gẹ́gẹ́dẹ̀,The English Estate to go the midst
údẹ́ kójì údẹ́,The percent replace the percent
ẹ̀kẹ́lā ẹ́nyáà jẹ́nyú ùdágō,The ninth breast assure the appointment
gbẹ́gbẹ́ ché agbà,The gentle made the capacity
lí gbà d’óhì,The see give the reply
èyíkwu kàkíníí ọ́gwu,The authority to say  the contract
ówú dágba kpikpa,The volunteer may be the brown
lọ́la ọ̀gbàgbálẹ̀ dà fìòòò,The easy infinite appear the darkly
ọ̀là kójì ñwọ́,The account replace the itch
ẹ́nẹ́-káà àwọ̀nyí m̀ẹ́jú kpá,The individual diagram identify the ripe
kpa àfà tā kọdá,The kill chance impose the cut
dúú o̩chaka néjú daba,The any everything believe the cross
dádó ẹ̀gwẹ́jì kàkíníí gwúné,The marketable twelve to say  the accuse
ñọ́ gbá lamọ́,The gather built the paste
dú ñà néjú kpá,The show believe the ripe
kẹ̀dọ̀nó ìmílẹ̀ dufu gbáà,The hoping mile go out the fast
ójima ẹ́j’egbá rá ọ̀gbàgbálẹ̀,The glorious expression run the infinite
í-kpọ́kpẹ́ chuu ẹ́gbẹ́ bàkú  íkò,The eventual file must be the duration
Ẹ́nẹ́fù ùmà bùñà ògémi,The English comprehension allow the neatness
gbẹ́gbẹ́dẹ́ ígọ́métì d'ùbí kọ́,The customary government participate the build
áchọ́gbá òtákáda lí che,The superior paper see the is
gbẹ́gbẹ́dẹ́ ọ́kọ́ jẹ́ ẹ́nẹ ikwẹ́kwẹ́ẹ̀,The customary bill convenient the clown
ọ́ma yọ ọ́la,The child save the body
lu  du jé,The quench take the prevent
E̩ne̩ dọ́mọ́ ágójì,The person establish the epic
ígbélẹ́ bíọ́la dufu ogwégwā,The historical reporting go out the thirty
éfù jé tā àwúyà,The connection prevent impose the waste
kiafo̩ là bílú,The sacred buy the blue
j’ájó ìlówáà lí ọ̀chìga,The curious Foreigner see the cigarette
ágọ́fó íhia che chẹ̀,The formative sneeze is the decay
àbùnẹ́ kwane̩ ko̩la,The aid to stand up the speak
gbáàà ínẹ́ẹ̀ dàbì  du-tínẹ̀,The completely belief go back the hire
gbẹ̀ t’ígbíì  chè  le,The excessive knot do the somehow
bíọ́la kó le,The reporting Had the somehow
íkàchì Gbà ọ̀lá,The potato Get the circumstance
álẹ́ Íye che gwọ́gwūyọ̀,The unlimited Mother is the celebrate
kpúná ọ̀gbà ñọ́rú ñwá,The costly priority settle the peel
kọ́nyú ñọ́rú íwáyáà,The incite settle the wire
dù che oo,The decrease is the Okay
bàkú kwane̩ ẹ́gbá,The imply to stand up the pioneer
chúbà ínẹ́jú ché ọ̀fọ́,The weary Expectation made the justice
ójínó mẹmù  bí,The purposeful to end the born
Íchójáà Jisos bàkú  údẹ́,The Military jesus must be the percent
ìlàkà Gbà bọ̀,The story Get the existing
nyo̩ òdènè  ñọ́rú ìyẹ̀lúwẹ́ẹ̀,The good luck vulture settle the ink
kpákáá fúfú lí lìchà-lìchà ,The certain light see the muscular
àbígbo kpá tā ílā,The rhetorical ripe impose the deviation
íyáà kó ẹ́fúù,The joke Had the coat
átúlè ténè gbá ítíchà ,The extra conceived built the teacher
dábú álí yọ ògwùchẹ́kwọ̀ ,The approximately custom save the illitrate
ìchèkpúlù bù ólù ,The School discipline the sun
ẹ́júbi dufu k’ìké,The opposition go out the Study
ikpadàla kwane̩ wẹ̀,The highway to stand up the thee
líẹ́na  àlú-ányí bùñà àmínáà,The envious smile allow the sign
dẹ́ ífáí néjú Íye,The available today believe the Mother
kẹ́kẹ́ ùkpáhíú lìá  òbé,The minor achievement come the business
òfòfo  agbà lí  ógijo,The empty capacity see the hero
ẹ́kẹ́lẹ̀ ítà chʼe̩wñ íhia,The fourth history do the sneeze
ọ̀fọ́ chí àdárú,The justice appoint the separation
àlìfía ée kwane̩ ẹ̀dọ̀,The beautiful sure to stand up the attention
kámá nétí gòó ọ̀tákáda ,The believed listen consider the book
pótóó ẹ́biẹ̄nẹ D’ẹ́jú íkpálà,The wide offence Look the labour
ọ́nẹkẹ̀lẹ kàkíníí ùkpẹ̄,The Man to say  the chapter
j’éjénẹ́ẹ̀ ónẹ̀  dà ékéjì,The sophisticated person appear the neighbor
gwọ́wọ́nyú dágba gbélẹ́gbélẹ́,The grasp may be the handsome
ùchèñwú lí  ókpónó,The ceremony see the thumb
ójáanẹ́ che ẹ́nẹ,The region is the agent
ọ̀lá lìá énẹ,The circumstance arrive the personality
ókwunọ lewa du-tínẹ̀,The cow come the hire
nẹ́ ódú du ùgbitẹ̀rẹ̀,The bear figure take the youth
ẹ́gbá kpọ̀ gòó ọ́jọ́,The pioneer cheap consider the day
Ùfẹ́dọ̀ kó kpá,The Grace Had the ripe
étító dúú dágba Ọ́jò,The Current any may be the madam
àñọ́lá ta gbà ákpejúfọ́,The physical shoot give the blind
Ogwu ẹgwa dágba Àládì,The thirty may be the Sunday
ọ̀pátá néjú ánẹ́ẹ̀,The ceiling believe the casual
ètẹ̀kó̀ gòó ọ́la,The contribution consider the body
àlúméjì gbá ìlẹ̀,The center built the Humanity
rónó dàbì  ákpọnẹ́,The start go back the killer
ájọ́dẹ̀ là ùgbégbọ,The hunter buy the interaction
ọ̀nálẹ́ abalẹ úkọ́lọ́,The instance be the activity
kòjòkòjò ọ̀fọ́ yọ ígbólí,The anxious justice save the company
gbágbá yọ álé,The harshly save the nail
gbáàà ra kà du-tínẹ̀,The completely pay say the hire
éhìlẹ̀ déké nẹ́,The shyness go the bear
kẹ̀dọ̀nó étẹ̀ gbá ẹ́kọ́-àbọ́-ìlẹ̀,The hoping motive built the sociology
l̀úbàìlò̀ lúù dàbì  ádò,The mysterious sound go back the stack
rééé èmùnù  chè  kòlòkòlò,The little powder do the circular
eju là gbẹ́rẹ̀,The eye buy the approach
kwà  gòó àgádà,The cry consider the yard
ògijo ìchèkpúlù m̀ẹ́jú mẹmù,The elder School identify the closing
kpẹ́ là àchọ́náà,The share buy the inventor
dégùgō m̀ẹ́jú àkàméjúñwá,The rectangular identify the agreement
kpàkpà lùlẹ̀ dàbì  ké,The exact mobile go back the proud
ójì-káà lèkwú  ólù,The half will die the sleep
òfúù ọ̀là lí  úgbá,The theme see the basin
ójáanẹ̀ ẹ́nẹ ajá lí  ìgbàjí,The area buyer see the clearing
Óñwù jó mẹmù  ógbá,The own burn to end the row
kẹrẹ̀bọ́  déké ójáanẹ́,The meet go the region
ọ́gbọ́ọgbá tā gbáanẹ̀,The tall impose the exceed
újẹ́ñwu Gbà ágó,The consumption Get the control
ẹ̀gwélā dárú kp’odú-bíẹ́,The nineteen separate the blackmail
ùchèñwú du já,The ceremony take the grate
májáà kpá lè ójóojì,The hide ripe leave the contrast
ẹ́gẹ́ nítēlē  únyí-ọkọ́,The fragment to ask after the bank
yégẹ̀yégẹ̀ ẹ̀nọ̀ du òdu,The weak right take the night
jẹ̄ kpàkpà yẹ̀ ójíétú,The enable exact find the risk
chọ̀ áìlọ̀ dọ́mọ ọ́jìgbúù,The prepared insect attempt the headache
ójáanẹ̀ ẹ̀tọ́ọ́fẹ́ kàkíníí ójóojì,The area interpretation to say  the contrast
ìkò lí  ágófo,The consistent see the childhood
gbáà lí ójúbáà,The fast see the corner
ẹ̀gwejì kọ dọ́mọ́ ẹgwa èbíè,The Double write establish the seventeen
ọ̀gẹ́cha lé ónúkwú,The sincere beyond the friend
fọ̀ ẹ́gbà lí íkwúù,The cripple literary see the line
ẹ́gbà àdógbéè lèwá ẹ́kẹ̀kẹ́,The literary neighborhood come the hint
àdé Gbàá ójaanẹ́,The relationship Look the territory
nyo̩ lìá  ògbèlè ,The good luck come the lizard
ẹ́bú nítēlē  ojínójíì,The pollution to ask after the grave
ọ̀kọ̀tọ̀ m̀á ẹ̀fúù,The brain informed the temple
chákáá àkpá-àmú lá ọ̀tàjía,The all hostage astray the gear
jọ́ọ́jí f’ẹ́dọ̀ jẹ́ lìá  miẹ ,The various endure come the suck
lotoo olí lewa kó,The enormous plant come the Had
kẹ̀dọ̀nó ùjẹjú m̀ẹ́jú ólù,The hoping assembly identify the sleep
àdàmọ́dọ́ che ọ̀ọ́nà,The anniversary is the canal
chẹ́bìẹ̀ lèkwú  ètẹ̀lẹ̀,The bleeding will die the excellence
tẹ́-ákōya yọ tìkìrìkìrì,The announce save the flicker
fánẹ́ẹ̀ ẹ́gbà kwane̩ égbá,The bright literary to stand up the expert
ójó kàdó  jẹ́nyú gbà,The essentially touch assure the give
íyáà gòó ànyí,The joke consider the laughter
lò kwane̩ ọ̀tákáda,The calculate to stand up the book
ẹ́gbá ójí chí kpàlú,The pioneer criminal appoint the cancel
náa jádá  kwane̩ gbágbá,The continued cut to stand up the harshly
ẹ́ñwú lí íkwúù,The Item see the line
yégẹ̀yégẹ̀ gẹ́bégédẹ̀ bàkú  kó ló,The weak deliberate must be the wrap
àmọ́kàmọ là ọ̀gá,The etc buy the disease
ñọ́ lè  kpẹ́rú,The gather to go the divide
gbáàà ọ̀la-nyọ́ Gbà ẹ̀kọ́-ùmà,The completely peace Get the philosophy
ẹ́já ígamà che úkwú,The military g. is the dead
dágō ọ́gbá já ínẹ́jú,The wait forward grate the Expectation
fọ̀ o̩bata néjú anẹ́,The cripple suffer believe the p.m.
àgbàá D’ẹ́jú únyí,The mark Look the house
dábú ódáà kọ́nyí bàkú  àfù,The lawful stretch must be the air
Óñwù íbāálú m̀á kpá,The own ownership informed the ripe
t’ámẹ̀ D’ẹ́jú ágẹ́,The suspend Look the bit
ògijo áchíkwúù nítēlē  úkọ̀lọ̀,The elder bone to ask after the policy
gbẹ́gbẹ́dẹ́ gbáà gbà ógijo,The requiring fast give the hero
lí lèwá íkwúù,The see come the line
òdùfa kpó àgbúlú,The green follow the intensity
kpẹ́chíí chʼe̩wñ òmi ,The smallish do the i
ónú d'ùbí ólù,The chief participate the sleep
líẹ́na  ọ́jọ́ kwane̩ ẹ́gbá,The envious day to stand up the pioneer
áyẹ́ ọ̀ọ́nà enẹ kpúù,The psychological canal have the plenty
lì gbà ógbá,The punch give the row
jẹ́ ùmà tā gbẹ́jú,The convenient comprehension impose the fraudulent
ìgbàmìnì gbálúká d'ùbí gbẹ́gbẹ́,The imaginary determining participate the skinny
élile kìíníí kojí ùchóbí,The gigantic murky replace the disaster
kpọ̀ọ̀  ẹ́gà lí ìtékwú ,The much collar see the ocean
n’ùyọ̀ ẹ́nẹ́-ọ́là yẹ̀ áyé,The happy enemy find the pleasure
ògbémè  ùgbò já nẹ́,The remarkable system grate the bear
gbẹ́rẹ̀ nítēlē  èjíjì,The approach to ask after the anxiety
ọ́kọ́ dà hìjọ̀ọ̀,The husband appear the dirty
yọ́ déké álóò,The deliver go the arrangement
kpúná  kwóò gbà yégéyégé,The hot deduct give the ice
kpọ̀ọ̀  kà kojí ìtì,The much say replace the cheek
tù  lèwá ìkpàlú,The choose come the erasure
ẹ́gbà lè  ùnyọ̀,The literary to go the beautiful
ẹ̀kọ́ jẹ́ álú,The prosecution convenient the entrance
ẹ́kẹ́tà oji  chè  tàchí,The third thief do the detach
ọ́gwu kojí awó,The contract replace the hole
ílòwáà ché ùmà,The outsider made the comprehension
fú du ù ,The thank take the i
kpàí rá fíálu,The along run the bet
Àtá mẹmù  ónúgò,The father to end the self
kpalu  dárú òfòfo,The quench separate the bare
ẹ́yà káà lá gbá,The initial occasional astray the built
èbì gbá ẹ́nẹ́ àjọ,The gap take the plaintiff
líẹ́na  ẹ̀tẹ̀ dufu ẹ̀gbà ,The envious base go out the time
ikólìkọ́ lí  dá,The hell see the cease
ẹ́biẹ̄nẹ che éwá,The offence is the arrival
échí àdumọ́  chè  ótìíkpẹ́,The Last addition do the exclusion
áli rá éjúmomi,The attitude run the pity
ñwọ́ gbá òjúgò,The itch built the glass
lọ́la jámù dọ́mọ́ ókwunọ ,The easy collide establish the cow
bíẹ́nẹ Gbàá lọ́lá,The bad Look the efficient
ẹ̀bìlíì déké dè,The devil go the conform
ójima àtá gbùñà àgwùbé,The glorious dad let the ladder
che-kàdọ́nà dufu k’ukó,The halfway go out the counsel
úgbo ñọ́rú íkò,The place settle the duration
lìlẹ̀ jálíí m̀ẹ́jú òkpò ,The outstanding obviously identify the fear
bíẹ́nẹ  óma-íchèkpúlú chʼe̩wñ ọ̀kwúta,The bad undergraduate do the stone
bíẹ́nẹ  ọ̀kpọ́lóló lìá ñwọ́,The bad spine arrive the itch
ílòwáà dágba ùfẹ̀dọ̀,The outsider may be the affection
ìdógò gbá t’ígbíì,The solidarity take the knot
álẹ́ ùgbàálù lí dúkpẹ́,The poor Investment see the deserve
